,model,month,member,ice-free year
45,MPI ESM1,8.0,7,2055
46,MPI ESM1,8.0,26,2055
47,MPI ESM1,8.0,36,2055
48,MPI ESM1,8.0,41,2055
49,MPI ESM1,8.0,50,2055
50,MPI ESM1,8.0,51,2055
51,MPI ESM1,8.0,67,2055
52,MPI ESM1,8.0,75,2055
53,MPI ESM1,8.0,77,2055
54,MPI ESM1,8.0,87,2055
55,MPI ESM1,8.0,88,2055
56,MPI ESM1,8.0,91,2055
57,MPI ESM1,8.0,94,2055
58,MPI ESM1,8.0,11,2056
59,MPI ESM1,8.0,14,2056
60,MPI ESM1,8.0,27,2056
61,MPI ESM1,8.0,32,2056
62,MPI ESM1,8.0,49,2056
63,MPI ESM1,8.0,61,2056
64,MPI ESM1,8.0,65,2056
65,MPI ESM1,8.0,68,2056
66,MPI ESM1,8.0,5,2057
67,MPI ESM1,8.0,23,2057
68,MPI ESM1,8.0,43,2057
69,MPI ESM1,8.0,45,2057
70,MPI ESM1,8.0,53,2057
71,MPI ESM1,8.0,62,2057
72,MPI ESM1,8.0,66,2057
73,MPI ESM1,8.0,82,2057
74,MPI ESM1,8.0,93,2057
75,MPI ESM1,8.0,8,2058
76,MPI ESM1,8.0,9,2058
77,MPI ESM1,8.0,30,2058
78,MPI ESM1,8.0,76,2058
79,MPI ESM1,8.0,84,2058
80,MPI ESM1,8.0,16,2059
81,MPI ESM1,8.0,17,2059
82,MPI ESM1,8.0,46,2059
83,MPI ESM1,8.0,71,2059
84,MPI ESM1,8.0,90,2059
85,MPI ESM1,8.0,21,2060
86,MPI ESM1,8.0,37,2060
87,MPI ESM1,8.0,44,2060
88,MPI ESM1,8.0,47,2060
89,MPI ESM1,8.0,54,2060
90,MPI ESM1,8.0,73,2060
91,MPI ESM1,8.0,74,2060
92,MPI ESM1,8.0,80,2060
93,MPI ESM1,8.0,92,2060
94,MPI ESM1,8.0,42,2061
95,MPI ESM1,8.0,86,2061
96,MPI ESM1,8.0,1,2062
97,MPI ESM1,8.0,22,2062
98,MPI ESM1,8.0,38,2062
99,MPI ESM1,8.0,98,2062
0,MPI ESM1,9.0,80,2039
1,MPI ESM1,9.0,15,2040
2,MPI ESM1,9.0,82,2041
3,MPI ESM1,9.0,40,2042
4,MPI ESM1,9.0,52,2042
5,MPI ESM1,9.0,56,2042
6,MPI ESM1,9.0,59,2042
7,MPI ESM1,9.0,60,2042
8,MPI ESM1,9.0,73,2042
9,MPI ESM1,9.0,95,2042
10,MPI ESM1,9.0,96,2042
11,MPI ESM1,9.0,45,2043
12,MPI ESM1,9.0,50,2043
13,MPI ESM1,9.0,6,2044
14,MPI ESM1,9.0,76,2044
15,MPI ESM1,9.0,81,2044
16,MPI ESM1,9.0,93,2044
17,MPI ESM1,9.0,97,2044
18,MPI ESM1,9.0,100,2044
19,MPI ESM1,9.0,12,2045
20,MPI ESM1,9.0,1,2046
21,MPI ESM1,9.0,4,2046
22,MPI ESM1,9.0,14,2046
23,MPI ESM1,9.0,16,2046
24,MPI ESM1,9.0,19,2046
25,MPI ESM1,9.0,25,2046
26,MPI ESM1,9.0,28,2046
27,MPI ESM1,9.0,31,2046
28,MPI ESM1,9.0,61,2046
29,MPI ESM1,9.0,69,2046
30,MPI ESM1,9.0,70,2046
31,MPI ESM1,9.0,75,2046
32,MPI ESM1,9.0,91,2046
33,MPI ESM1,9.0,3,2047
34,MPI ESM1,9.0,7,2047
35,MPI ESM1,9.0,18,2047
36,MPI ESM1,9.0,20,2047
37,MPI ESM1,9.0,33,2047
38,MPI ESM1,9.0,35,2047
39,MPI ESM1,9.0,41,2047
40,MPI ESM1,9.0,58,2047
41,MPI ESM1,9.0,62,2047
42,MPI ESM1,9.0,78,2047
43,MPI ESM1,9.0,84,2047
44,MPI ESM1,9.0,87,2047
45,MPI ESM1,9.0,92,2047
46,MPI ESM1,9.0,8,2048
47,MPI ESM1,9.0,34,2048
48,MPI ESM1,9.0,36,2048
49,MPI ESM1,9.0,39,2048
50,MPI ESM1,9.0,42,2048
51,MPI ESM1,9.0,46,2048
52,MPI ESM1,9.0,47,2048
53,MPI ESM1,9.0,57,2048
54,MPI ESM1,9.0,63,2048
55,MPI ESM1,9.0,71,2048
56,MPI ESM1,9.0,26,2049
57,MPI ESM1,9.0,27,2049
58,MPI ESM1,9.0,30,2049
59,MPI ESM1,9.0,37,2049
60,MPI ESM1,9.0,55,2049
61,MPI ESM1,9.0,64,2049
62,MPI ESM1,9.0,79,2049
63,MPI ESM1,9.0,89,2049
64,MPI ESM1,9.0,90,2049
65,MPI ESM1,9.0,10,2050
66,MPI ESM1,9.0,24,2050
67,MPI ESM1,9.0,29,2050
68,MPI ESM1,9.0,49,2050
69,MPI ESM1,9.0,54,2050
70,MPI ESM1,9.0,68,2050
71,MPI ESM1,9.0,72,2050
72,MPI ESM1,9.0,83,2050
73,MPI ESM1,9.0,85,2050
74,MPI ESM1,9.0,86,2050
75,MPI ESM1,9.0,94,2050
76,MPI ESM1,9.0,5,2051
77,MPI ESM1,9.0,21,2051
78,MPI ESM1,9.0,22,2051
79,MPI ESM1,9.0,23,2051
80,MPI ESM1,9.0,48,2051
81,MPI ESM1,9.0,51,2051
82,MPI ESM1,9.0,74,2051
83,MPI ESM1,9.0,88,2051
84,MPI ESM1,9.0,98,2051
85,MPI ESM1,9.0,13,2052
86,MPI ESM1,9.0,32,2052
87,MPI ESM1,9.0,43,2052
88,MPI ESM1,9.0,44,2052
89,MPI ESM1,9.0,65,2052
90,MPI ESM1,9.0,77,2052
91,MPI ESM1,9.0,99,2052
92,MPI ESM1,9.0,2,2053
93,MPI ESM1,9.0,9,2053
94,MPI ESM1,9.0,11,2053
95,MPI ESM1,9.0,17,2053
96,MPI ESM1,9.0,67,2053
97,MPI ESM1,9.0,38,2054
98,MPI ESM1,9.0,53,2054
99,MPI ESM1,9.0,66,2055
0,MPI ESM1,10.0,12,2052
1,MPI ESM1,10.0,18,2053
2,MPI ESM1,10.0,29,2054
3,MPI ESM1,10.0,33,2056
4,MPI ESM1,10.0,87,2056
5,MPI ESM1,10.0,4,2057
6,MPI ESM1,10.0,6,2057
7,MPI ESM1,10.0,40,2057
8,MPI ESM1,10.0,5,2058
9,MPI ESM1,10.0,24,2058
10,MPI ESM1,10.0,39,2058
11,MPI ESM1,10.0,82,2058
12,MPI ESM1,10.0,93,2058
